site_index,English_Quote,Persian_Quote,Prise_Writer
25468,Tan writes with breath-catching poise and grace.,«تان» با ظرافت و شکوهی حیرت انگیز می نویسد.,Independent
25468,Readers in search of spectacular writing will not be disappointed.,مخاطبینی که در جست و جوی نثری درخشان هستند، ناامید نخواهند شد.,Library Journal
15551,The first volume indicates the scholarly value of the entire series: an introduction setting the work in the context of Kierkegaard's development,بخش اول ارزش علمی کل مجموعه را نشان می دهد: مقدمه ای که اثر را در زمینه ی پیش روی کی یرکگور تنظیم می کند.,Library Journal
352,"Wise, darkly funny and brave.",خردمندانه، با طنزی تاریک و شجاعانه.,New York Times
352,An astonishing exploration of fear.,کاوشی خیره کننده درباره ی ترس.,Kirkus Reviews
352,An expertly crafted tale.,داستانی استادانه.,Publishers Weekly
2235,Stunning.,خیره کننده.,The New York Times
2235,Rock Springs is the very poetry of realism.,کتاب آتش بازی، شاعرانگی رئالیسم است.,"Joyce Carol Oates, author"
2235,It confirms Ford's place among our finest writers.,این اثر جایگاه فورد را در زمره ی برترین نویسندگان آمریکا به تثبیت می رساند.,The Times
1005,A popular classic.,یک اثر کلاسیک محبوب.,Penguin Random House
1005,An excellent book not only for writing but for processing life.,اثری شگرف نه تنها برای نوشتن بلکه برای تحلیل زندگی.,Booktopia
1005,A dramatically different approach to writing.,روشی بسیار متفاوت در نوشتن.,Better World Books
1742,"Filled with rich, true details.",مملو از جزئیاتی غنی و حقیقی.,Goodreads
1742,"Gripping, affecting, and beautifully paced.",گیرا، تأثیرگذار و با ضرباهنگی دلنشین.,The Oprah Magazine
1742,Prepare yourself for a thrilling ride.,خودتان را برای سفری هیجان انگیز آماده کنید.,Essence
1292,It bears witness to the flowering of Arthur Conan Doyle’s genius.,این اثر، گواهی بر نبوغ شکوفنده ی آرتور کانن دویل است.,Barnes & Noble
1292,A timeless work.,اثری جاودان.,Readings
1292,With cases faced by of Sir Arthur Conan Doyle's peerless creation.,با پرونده هایی که مخلوق بی همتای سر آرتور کانن دویل با آن ها رو به رو می شود.,Penguin
79453,A readable and convincing account.,شرحی خواندنی و مجاب کننده.,Publishers Weekly
79453,Weikart reveals the startling and fascinating truth about the most hated man of the 20th century.,«ویکارت» از حقیقت خیره کننده و شگفت آور درباره نفرت انگیزترین مرد در قرن بیستم پرده برمی دارد.,Barnes & Noble
79453,It will challenge scholars to rethink existing interpretations of Hitler’s Religion.,این اثر، پژوهشگران را به چالش می کشد تا ارزیابی مجددی از تفاسیر کنونی در مورد دین «هیتلر» داشته باشند.,"Dr. Eric Kurlander, Stetson University"
1543,A moving character study.,پژوهشی تکان دهنده از شخصیت ها.,timlepczyk.com
1543,A story by one of Russia’s most famous and popular writers.,داستانی از یکی از مشهورترین و محبوب ترین نویسندگان روسیه.,Barnes & Noble
25768,"Entertaining and lively, Macintyre’s account makes the best fictional thrillers seem tame.",شرح سرگرم کننده و سرزنده «مک اینتایر» باعث می شود بهترین داستان های تریلر، آرام و بی اتفاق به نظر برسند.,Publishers Weekly
25768,Macintyre’s epic telling of one of the greatest spy stories ever.,روایت حماسی «مک اینتایر» از شگرف ترین داستان جاسوسی در تاریخ.,Barnes & Noble
25768,A fresh look at the grandest espionage drama of our era.,نگاهی تازه به بزرگ ترین درامای جاسوسی عصر ما.,New York Times
2675,"Of all Christie’s detectives, it’s Jane Marple who best understood what can drive ordinary people to the extraordinary act of taking a life.",از میان همه کارآگاهان کریستی، این جین مارپل است که به بهترین وجه درک کرده است که چه چیزی می تواند مردم عادی را به سمت عمل خارق العاده از دست دادن یک زندگی سوق دهد.,S. J. Rozan
2675,"A model detective story, there is never a dull moment.",الگوی یک داستان کارآگاهی، هرگز لحظه ای کسل کننده وجود ندارد.,Times
12470,A moving love story and a vivid depiction of Berlin in the 1870s.,یک داستان عاشقانه ی تکان دهنده و تصویری زنده از برلین در دهه ی 1870.,Penguin
12470,"A classic novel, one of the pillars of German literature.",رمانی کلاسیک، یکی از ستون های ادبیات آلمان.,Amazon
12470,"To read it is a joy, for its humanity, subtlety and visual immediacy.",خواندن این اثر به خاطر انسانیت، ظرافت و بی واسطگی تصویری آن، لذت بخش است.,The Independent
6318,Remarkable portrayals of the American spiritual landscape.,تصاویری جالب توجه از مناظر معنوی آمریکا.,Penguin Random House
6318,Marvelous.,حیرت آور.,The New York Times
6318,It shows a modern master at the height of his powers.,این اثر، استادی مدرن را در اوج توانایی های خود نشان می دهد.,Barnes & Noble
943,"Fascinating and smart and provocative, and a lot of fun.",شگفت آور، هوشمندانه، تفکربرانگیز، و بسیار سرگرم کننده.,New York Times
943,Beautifully crafted and honest.,خوش ساخت و صادقانه.,Publishers Weekly
943,"No one writes quite like Saramago, so solicitous and yet so magnificently free.",هیچکس مانند ساراماگو نمی نویسد، بسیار دغدغه مند و در عین حال، به شکل باشکوهی آزاد و رها.,Guardian
89267,From the late doyenne of the English mystery.,اثری از بانوی بزرگ فقید در قلمرو داستان های معمایی انگلیسی.,Kirkus Reviews
89267,A thrilling and entertaining read.,اثری مهیج و سرگرم کننده.,Penguin Random House
89267,"Surprising, sardonic and darkly humorous.",غافلگیرکننده، کنایه آمیز و با طنزی تاریک.,Washington Post
1554,Higashino again proves his mastery of the puzzle mystery.,هیگاشینو دوباره تسلط خود را در خلق داستان های معمایی به اثبات می رساند.,The New York Times Book Review
1554,Higashino combines Dostoyevskian psychological realism with classic detective-story puzzles reminiscent of Agatha Christie.,هیگاشینو، رئالیسم روانشناسانه ی داستایفسکی را با معماهای داستان های کارآگاهی یادآور آثار آگاتا کریستی ترکیب می کند.,Wall Street Journal
1554,A smart and original mystery.,یک داستان معمایی هوشمندانه و بدیع.,Library Journal
701,Alice Munro is among the major writers of English fiction of our time.,آلیس مونرو، جزو نویسندگان برجسته ی داستان های انگلیسی در زمانه ی ماست.,
701,The authority she brings to the page is just lovely.,توانایی و تسلطی که مونرو بر روی کاغذ می آورد، بسیار دوست داشتنی است.,Elizabeth Strout
701,"Her work felt revolutionary when I came to it, and it still does.",آثار او در زمانی که با آن ها مواجه شدم، انقلابی و پیشگامانه بود، و هنوز هم هست.,Jhumpa Lahiri
17336,Completely gripping.,کاملا گیرا.,People
17336,Dazzling.,حیرت آور.,Observer
17336,A spellbinding journey into the frozen heart of darkness.,سفری مسحورکننده به قلب منجمد تاریکی.,Barnes & Noble
1724,"A star of Iranian literature, Zoya Pirzad transcends the everyday with her luminous writing.",زویا پیرزاد، ستاره ی ادبیات ایران، زنگی روزمره را با نثر درخشان خود به سطحی بالاتر می رساند.,Elle
1724,"Pirzad writes with wit and precision, deftly evoking the daily routines and rhythms of a city.",پیرزاد با لطافت طبع و دقت می نویسد و به شکلی استادانه، تصویری از روتین ها و ریتم زندگی روزمره در یک شهر را خلق می کند.,New Internationalist
1724,A simple but effective story.,داستانی ساده اما تأثیرگذار.,Complete Review
1333,"A memorable story of artistic freedom, creativity, and the clash between science and fundamentalism.",داستانی به یاد ماندنی درباره ی آزادی های هنری، خلاقیت و نزاع میان علم و بنیادگرایی.,Goodreads
1333,An impressive achievement.,موفقیتی چشمگیر.,The New York Times Book Review
1333,A fascinating work.,اثری شگفت انگیز.,The Sunday Times
1566,It will engage children of all ages.,این اثر، کودکان در همه ی سنین را مجذوب خود خواهد کرد.,Teaching Children Philosophy
1566,A wonderful experience for all ages.,تجربه ای شگفت انگیز برای تمامی سنین.,Denver Rocky Mountain News
1566,Amazing and with an unexpected twist at the end.,حیرت آور و با اتفاقی غیرمنتظره در پایان.,Washington Post
1531,There is no denying the power of Golshiri’s writing.,به هیچ صورت نمی توان قدرت نویسندگی گلشیری را انکار کرد.,Glasgow Herald
1531,Golshiri was one of the first writers to apply modern literary techniques to depict the demise of the Iranian aristocracy.,گلشیری یکی از اولین نویسندگانی بود که برای به تصویر کشیدن انحطاط طبقه ی اشراف در ایران، از تکنیک های ادبی مدرن استفاده کرد.,Fantastic Fiction
29617,"A spellbinding novel that shows there are no accidents, in life and in love.",رمانی مسحورکننده که نشان می دهد هیچ اتفاقی تصادفی نیست، نه در زندگی و نه در عشق.,Barnes & Noble
29617,A gorgeous story about the ways in which love and beauty bind us together.,داستانی دلنشین درباره ی راه هایی که عشق و زیبایی، ما را به هم پیوند می زند.,Amazon
29617,A wonderful book.,کتابی شگفت انگیز.,Publishers Weekly
52149,A heartfelt novel that turns the machinery of fantasy inside out.,رمانی پراحساس که ساز و کارهای فانتزی را واژگون می کند.,New York Times
52149,A spellbinding adventure.,یک ماجراجویی مسحورکننده.,NPR
52149,"A rare, strange, and scintillating novel.",رمانی کمیاب، عجیب و درخشان.,Chicago Tribune
1599,The work of one of France's most celebrated and interesting novelists.,اثر یکی از تحسین شده ترین و جذاب ترین نویسندگان فرانسه.,Amazon
1599,Constant is at the height of her powers.,کنستان در اوج توانایی های خود قرار دارد.,Barnes & Noble
1599,An engaging work.,اثری گیرا.,Library Journal
18050,A lovely tale.,داستانی دوست داشتنی.,New Yorker
18050,Highly recommended.,به شدت توصیه می شود.,Library Journal
18050,"A gorgeous, rich book about the classic American myth.",کتابی دلنشین و غنی درباره ی اسطوره ی آمریکایی کلاسیک.,Electric Literature
53331,Timely and important,سروقت و مهم.,Ed Balls
53331,A remarkable new book.,یک کتاب جدید قابل توجه,-John Harris
43849,Stunning and amazing.,درخشان و فوق العاده.,Phil Town
43849,The 4-Hour Workweek is an absolute necessity for those adventurous souls who want to live life to its fullest.,این کتاب برای آن دسته از روح های ماجراجو که می خواهند زندگی را به حد کمال خود ادامه دهند یک ضرورت مطلق است.,John Lusk
4934,"Refrains from self-justification and score-settling, preferring to display a mischievous wit and an acute gift for observation.”  —Guardian","از توجیه خود و تسویه حساب خودداری می کند ، و ترجیح می دهد، برای مشاهده شوخ طبعی موذیانه و هدیه ای زیرکانه را به نمایش بگذارد. "" -گاردین",
1437,A necessary and easy-to-understand book.,کتابی ضروری، ساده و قابل فهم.,Publishers Weekly
1437,It will assist in improving our relationships.,این کتاب در بهبود روابطمان به ما کمک خواهد کرد.,Library Journal
24785,"The Invisible String by Patrice Karst is a heartwarming story that reassures children that even though they can't always be with a loved one, they're always in each other's hearts. Whenever a child thinks about a family member, THE INVISIBLE STRING gives a tug. This book is an excellent way to begin the conversation about death. The gentle story illustrates that we are still connected by love even after someone passes.",نخ نامرئی داستانی دلگرم کننده از پاتریک کارست است؛ این داستان به کودکان اطمینان خاطر می دهد که اگرچه نمی توانند همیشه در کنار عزیزانشان باشند، اما همیشه در قلب یکدیگر هستند. هر زمان که کودکی به عضوی از خانواده ی خود می اندیشد، نخ نامرئی می جنبد و تقلا می کند. این کتاب یک راه عالی برای شروع مکالمه درباره ی مرگ است. این قصه ی لطیف نشان می دهد که ما حتی پس از دست رفتن عزیزانمان به وسیله ی عشق به آن ها متصلیم.,Parents Magazine
24785,"The Invisible String is part of my social skills/feelings book purchases. This is a story about how twins realize there is an invisible string connecting all people who love one another… you can feel it in your heart and always be connected, even from afar. Beautiful. Delicate. Perfect for: dealing with loss, moving, friendship issues, family problems, nighttime fears… Quite the special book.",کتاب نخ نامرئی مربوط به بخش خرید کتاب های احساسات و مهارت های اجتماعی من است. داستان درباره ی دوقلوهایی است که متوجه می شوند چطور یک نخ نامرئی تمام کسانی که یکدیگر را دوست دارند به هم وصل می کند. همواره این حس اتصال در قلب وجود دارد حتی وقتی که از هم دوریم. زیبا؛ ظریف و مناسب برای دست و پنجه نرم کردن با فقدان عزیزان، جابجایی، مشکلات در دوستی، مشکلات خانوادگی و ترس های شبانه، این کتاب یک کتاب استثنائی است.,Styling Librarian
24785,"If I could only have one book to use for counseling purposes, this would be it. This book is extremely versatile. It can be used for any type of separation, loss. The premise of the book is that we are all connected by an invisible string. Even though it is invisible, you can feel it with your heart. Everyone has an invisible string, and it can reach anywhere, even heaven. The book's message is that no one is ever alone, even when their loved one is not physically present.",اگر می شد یک کتاب را برای اهداف مشاوره ای استفاده کرد، این کتاب همان است. این کتاب همه کاره است. می تواند برای هر مدلی از جدایی و فقدان استفاده شود. اساس داستان بر این است که ما همه با نخی نامرئی به هم متصلیم. با اینکه نامرئی است اما در دل احساس می شود. همه یک نخ نامرئی دارند که می تواند به هرجایی حتی بهشت هم برسد. پیام داستان این است که هیچکس تنهاست حتی اگر عزیزانش در کنار او حضور فیزیکی نداشته باشند.,United Way-Life Lessons for Little Ones
17675,A most satisfying read that sustains its humor and emotional resonance.,داستانی فوق العاده رضایت بخش که شوخ طبعی و تأثیرگذاری عاطفی خود را از ابتدا تا انتها حفظ می کند.,Publishers Weekly
17675,One of Dovlatov's greatest contributions to Russian literature.,یکی از برجسته ترین مشارکت های «دولاتوف» در ادبیات روسیه.,New York Review of Books
17675,A fine rumination on being Russian.,تأملی شگرف بر روس بودن.,Kirkus Reviews
1727,A poignant story about belonging and pride and prejudice.,داستانی گزنده درباره ی تعلق خاطر، و غرور و تعصب.,Goodreads
1727,It brilliantly depicts private emotional conflict.,این کتاب به شکلی درخشان، کشمکش های عاطفی شخصی را به تصویر می کشد.,One World Publications
1727,A Moving work.,اثری تکان دهنده.,Mother and Baby
17098,An unforgettable love story between a writer and his unexpected muse.,عاشقانه ای فراموش نشدنی میان یک نویسنده و منبع الهام غیرمنتظره ی او.,Barnes & Noble
17098,It will have readers hooked from the first pages.,این کتاب از همان نخستین صفحات، مخاطبین را به خود جذب می کند.,Library Journal
17098,Sure to please a plethora of readers.,اثری که بدون تردید برای طیف وسیعی از مخاطبین رضایت بخش خواهد بود.,Amazon
1110,"With a smart plot, laugh-out-loud funny moments, and really cool science.",با داستانی هوشمندانه، لحظات فوق العاده خنده دار و مسائل علمی بسیار جالب.,Library Journal
1110,An action-packed story of the first order.,یک داستان پرحادثه ی درجه یک.,USA Today
1110,Weir has created a realistic and fascinating future society.,وییر، جامعه ای واقع گرایانه و شگفت انگیز در آینده را خلق کرده است.,Associated Press
1285,Schopenhauer's highly readable work.,اثر بسیار خواندنی شوپنهاور.,Amazon
1285,Enlightening.,روشنگرانه.,Book Depository
1285,Profound and moving.,ژرف و تکان دهنده.,philosophy
3216,The absorbing sequel to Chris Widener and Jim Rohn's best-seller Twelve Pillars.,ادامه ی جذاب کتاب پرفروش «دوازده ستون» اثر کریس وایدنر و جیم ران.,Amazon
3216,A quick enjoyable story.,داستانی کوتاه و لذت بخش.,Goodreads
1160,"A ravishing, magnificent book.",کتابی مسحورکننده و باشکوه.,Goodreads
1160,It demonstrates on every page the miracle of Arundhati Roy’s storytelling gifts.,همه ی صفحات این کتاب، نشان دهنده ی معجزه ی توانایی های آرونداتی روی در داستان سرایی است.,Barnes & Noble
1160,Moving… Powerful.,تکان دهنده... قدرتمند.,LA Review of Books
13739,"That contemporary theory would eventually turn back to consider its origins in the contradictions of philosophical aesthetics was predictable; but nothing could have prepared us for Eagleton's extraordinary confrontation with the entire modern history of this discourse, in a book which will be indispensable for years to come.",اینکه تئوری مدرن باید به در نظر گرفته منشاش در تعارضات زیبایی شناسی فلسفی برمیگشت قابل پیش بینی بود اما هیچ چیزی نمی تواند ما را برای روریایی خارج العاده با کل تاریخ مدرن ایگلتون آماده کند. کتابی که برای سال های آینده ضروری خواهد بود.,"F. R. Jameson, Duke University"
13739,"Eagleton succeeds brilliantly in situating aesthetic theory as an irreducibly heterogeneous series of discourses who ideological and political effect on North Atlantic civilization since the Englightenment has been more diverse and consequential than traditional philosophical, literary, and cultural theory has previously suspected or acknowledged.",ایگلتون به خوبی موفق شده است تا تئوری زیبایی شناسی را درون گفتمان های نامتجانسی جای دهد که اثرات ایدئولوژیکال وسیاسی بر تمدن آتلانتیک شمالی داشته اند و از زمان روشنگری بسیار متنوع تر از فلسفه ی ادبی و تئوری فرهنگ گذشته بوده اند.,Choice
79529,A brilliant work.,اثری درخشان.,ThriftBooks
79529,Insider views of the life of an intensely creative man and the remarkable films he directed.,تصاویری بی واسطه از زندگی مردی فوق العاده خلاق، و فیلم های برجسته ای که او کارگردانی کرد.,AbeBooks
2388,With clarity and emotion.,با شفافیت و احساس.,Barnes & Noble
2388,A wrenching portrait of a country needlessly torn apart.,تصویری تشویش آور از کشوری که بی دلیل از هم گسسته شد.,Penguin Random House
2388,A philosophically charged indictment of Yugoslavians.,اعلام جرمی با رگه های فلسفی در رابطه با یوگوسلاویایی ها.,Kirkus Reviews
41152,It will satisfy readers in search of a pleasantly scary read.,این اثر، مخاطبینی را راضی خواهد کرد که به دنبال یک داستان ترسناک لذت بخش هستند.,Bulletin of the Center for Children's Books
41152,The second installment of the thrilling Watch Hollow series.,دومین عنوان در مجموعه مهیج «عمارت مرموز».,Amazon
41152,A must-read series.,مجموعه ای ضروری.,Fantastic Fiction
59605,Beguiling . . . . . fascinating.,فریبنده . . . . . شگفت انگیز.,People magazine
59605,“An heir to Machiavelli’s Prince . . .,وارث شاهزاده ماکیاولی. . .,Publishers Weekly
60141,Straightforward and compassionate.,بی پرده و مهرآمیز.,Denver Post
60141,A poignant story of self-discovery.,داستانی گزنده درباره ی کشف خویشتن.,Barnes & Noble
60141,The author’s sympathetic insight will engage readers.,بینش های همدلانه ی نویسنده، مخاطبین را جذب خواهد کرد.,Kirkus Reviews
2112,"A puzzle that is tortuous, surprising and finally satisfying.",معمایی پر پیچ و خم، غافلگیرکننده و در نهایت رضایت بخش.,Sunday Express
2112,"Miss Marple is spry, shrewd and compassionate.",خانم مارپل، چالاک، زیرک و مهربان است.,Sunday Telegraph
2112,A fast paced exciting mystery.,یک داستان معمایی سریع و هیجان انگیز.,Johnson County Library
1610,A comical dig at global politics.,تلنگری طنزآمیز به سیاست های جهانی.,Razor
389,A glimpse of the precariousness of life in a totalitarian state.,نیم نگاهی به بی ثباتی زندگی در حکومتی تمامیت خواه (توتالیتر).,Wall Street Journal
389,"This book offers valuable lessons about dictatorship, disillusionment and personal choice.",این کتاب، درس های ارزشمندی درباره ی دیکتاتوری، سرخوردگی از واقعیت و انتخاب های شخصی ارائه می کند.,San Francisco Chronicle
389,A well-written and accessible work.,کتابی خوش ساخت و سرراست.,Children's Literature
1184,One of the most famous works of philosophy.,یکی از مشهورترین آثار فلسفی.,Barnes & Noble
1184,It is complete. For it is a work of art.,این کتاب، اثری کامل است چرا که اثری هنری است.,"Walter Kaufmann, Philosopher"
1184,Written at the peak of Nietzsche's intellectual abilities.,نگاشته شده در دوران اوج توانایی های ذهنی نیچه.,Amazon
14150,A stunning conclusion to the bestselling saga of the fierce bond between two women.,پایانی خیره کننده بر داستانی پرفروش درباره ی پیوند عمیق میان دو زن.,Publishers Weekly
14150,"Dazzling, stunning, an extraordinary epic.",حیرت انگیز، خیره کننده، یک حماسه ی خارق العاده.,New York Times
14150,This is Ferrante at the height of her brilliance.,این، «فرانته» در اوج درخشش است.,Vanity Fair
16012,One of the best in the series.,یکی از بهترین ها در این مجموعه.,(Publishers Weekly (starred review
16012,The dialogue has never been sharper. . . . The pages turn themselves.,دیالوگ های هیچگاه به این برندگی نبوده اند. صفحات خودشان ورق می خورند.,San Antonio Express-News
16012,"For the pure pleasure of uncomplicated, nonstop action, no one touches Reacher",برای لذت خالص ناشی از عمل غیرپیچیده و بی وقفه هیچ کس به پای ریچر نمی رسد.,(Kirkus Reviews (starred review
29745,An in-depth exploration of Haig’s battle with depression.,کاوشی ژرف در نبرد «هیگ» با افسردگی.,People
29745,Wonderful and essential.,شگفت انگیز و ضروری.,Huffington Post
29745,"A vibrant, encouraging depiction of a sinister disorder.",اثری که به شکلی پرشور و دلگرم کننده، یک اختلال شوم را به تصویر می کشد.,Kirkus Reviews
1895,Eco at his best.,اکو در اوج توانایی های خود.,Barnes & Noble
1895,It remains compulsively readable.,این اثر همچنان فوق العاده خواندنی باقی مانده است.,The New York Times Book Review
1895,Baudolino's adventures should please anyone looking for the ultimate medieval road novel.,ماجراجویی های بائودولینو، هر کسی را به دنبال رمان غایی درباره ی داستان جاده ای قرون وسطایی است، راضی خواهد کرد.,Library Journal
40364,A deeply moving testament to the bonds of friendship and family.,گواهی عمیقا تکان دهنده بر پیوندهای دوستی و خانواده.,Barnes & Noble
40364,With all the charm and humor that have made Sophie Kinsella’s books beloved by millions.,با تمام شوخ طبعی و جذابیتی که باعث شده کتاب های «سوفی کینسلا» برای میلیون ها مخاطب محبوب باشد.,Amazon
40364,Warm and lively.,گرم و پرانرژی.,Time
1706,A stunning psychological portrait.,یک تصویر روانشناسانه ی خیره کننده.,Penguin Random House
1706,A dark and compelling novel.,رمانی تاریک و هیجان انگیز.,Goodreads
1706,A darkly comic novel of greed and self-destruction.,رمانی با طنزی سیاه درباره ی طمع و خودتخریب گری.,Bloomsbury
1043,It is really a wonderful book.,کتابی واقعا شگفت انگیز.,Ernest Hemingway
1043,One of the world's great adventure stories.,یکی از داستان های ماجرایی بزرگ جهان.,Barnes & Noble
1043,An extraordinary story of a remarkable woman.,داستان خارق العاده ی زنی شگفت انگیز.,Brothers Judd
20310,[Noah] thrives with the help of his astonishingly fearless mother. . . . Their fierce bond makes this story soar.,نوآ با کمک مادر حیرت انگیز و نترس خود رشد می کند. . . . پیوند شدید آنها باعث می شود این داستان اوج بگیرد.,People
20310,"Compelling . . . By turns alarming, sad and funny, [Trevor Noah’s] book provides a harrowing look, through the prism of Mr. Noah’s family, at life in South Africa under apartheid.",فریبنده . . . کتاب که گاهی هشدار دهنده ، غم انگیز و خنده دار است ، نگاهی دلهره آور از منشور خانواده آقای نوآ را در زندگی در آفریقای جنوبی تحت آپارتاید ارائه می دهد.,New York Times
20310,You’d be hard-pressed to find a comic’s origin story better than the one Trevor Noah serves up in Born a Crime.,برای پیدا کردن داستانی با منشأ کمیک، بهتر از آنچه ترور نوآ در زاده ی جرم ارائه می دهد، به زحمت خواهید افتاد.,Oprah Magazine
20310,"An affecting memoir, Born a Crime [is] a love letter to his mother.","خاطره ای تأثیرگذار ، زاده ی جرم
نامه ای عاشقانه به مادرش است.",Washington Post
20310,Witty and revealing . . . Noah’s story is the story of modern South Africa.,شوخ و افشاگر. . . داستان نوآ، داستان آفریقای جنوبی مدرن است.,Publishers Weekly
20310,"[Trevor Noah’s] electrifying memoir sparkles with funny stories . . . and his candid and compassionate essays deepen our perception of the complexities of race, gender, and class.",خاطرات براق ترور نوآ، با داستان های خنده دار جرقه می زند. . . و جستارهای صریح و دلسوزانه ی او درک ما را از پیچیدگی های نژاد ، جنسیت و طبقه ی اجتماعی عمیق تر می کند.,Booklist
20310,A gritty memoir . . . studded with insight and provocative social criticism . . . with flashes of brilliant storytelling and acute observations.,یک خاطره نویسی هدفمند. . . مملو از بینش و انتقاد تحریک آمیز اجتماعی. . . با درخشش داستان های عالی و مشاهدات بحرانی.,Kirkus Reviews
2118,"Brecht's work has helped to shape a generation of writers, theatergoers, and thinkers.",آثار برشت در شکل گیری یک نسل از نویسندگان، مخاطبین تئاتر و متفکرین تأثیرگذار بوده است.,University of Minnesota Press
2118,With one of modern drama’s best comic figures.,با یکی از بهترین شخصیت های کمیک در تئاتر مدرن.,The Guardian
2118,The work of a playwright who introduced a new way of thinking about the theater.,اثر نمایشنامه نویسی که شیوه ای جدید را برای فکر کردن درباره ی تئاتر به وجود آورد.,Amazon
86998,Writing Crooked House was pure pleasure and I feel justified in my belief that it is one of my best.,نوشتن خانه کج لذت محض بود و من احساس می کنم که یکی از بهترین های من است.,Agatha Christie
86998,We all go where [Agatha Christie] led; you can track us in her snow,همه ما به جایی می رویم که [آگاتا کریستی] رهبری می کرد. شما می توانید ما را در برف او دنبال کنید,Reginald Hill
1556,Luiselli shows us a marvelous world.,لوییزلی دنیایی شگفت انگیز را به ما نشان می دهد.,Your Impossible Voice
1556,"Written in lovely, funny, clearheaded prose.",با نثری دوست داشتنی، بامزه و هوشمندانه.,Asymptote Journal
1556,"A captivating, meditative work.",کتابی مسحورکننده و تفکربرانگیز.,Booklist
2249,For those interested in reading Iranian history without exaggeration.,برای آنها که علاقمندند تاریخ ایران را بدون بزرگنمایی بخوانند.,Goodreads
2249,Keenly insightful and humorous.,کتابی جامع درباره ی دوره های مختلف.,shmoton
1368,Kafka's literary masterpiece.,شاهکار ادبی کافکا.,Barnes & Noble
1368,Kafka’s haunting story still has the power to shock and delight a century after it was first published.,این داستان به یاد ماندنی از کافکا، پس از گذشت یک قرن از انتشار اولیه، هنوز هم شوکه کننده و لذت بخش باقی مانده است.,The Guardian
1368,One of the seminal works of fiction of the 20th century.,یکی از مهم ترین آثار داستانی قرن بیستم.,Amazon
26316,"This slim volume finds protagonist Joanna and husband Walter and kids leaving the wicked city for the bucolic town of Stepford. Despite its ideal facade, the sleepy little storybook town actually is more wicked. Joanna soon notices that her female neighbors are all body and no brains and seemingly exist only to do housework while their husbands gather nightly at a mysterious men's club. Even worse, it appears that the women who moved there just before her suddenly begin morphing into hausfraus built like swimsuit models-and she's next! It's hard to tell if this is a stab at the feminist movement or simply a male fantasy, but it's a fun read and will keep you turning the pages.",در این کتاب کم حجم ، قهرمان داستان، جوانا و شوهرش والتر و بچه هایشان شهر شرور را به مقصد استپفورد ترک می کنند. با وجود نمای ایده آل خود ، شهر کوچک وخواب آلود داستان در واقع شرورتر از شهر قبلی است. جوانا به زودی متوجه می شود که زنان همسایه، تماما بدن هستند و فاقد فکرند و ظاهرا فقط برای انجام کارهای خانه آفریده شده اند؛ در حالی که همسرانشان شبانه در یک کلوپ مرموز مردان جمع می شوند. حتی بدتر از این ، به نظر می رسد زنانی که درست قبل از او به آنجا نقل مکان کرده اند ، ناگهان به شکل یک خانم خانه در می آیند که همچون یک مدل لباس شنا ساخته شده است - و او نفر بعدی است! تشخیص آن دشوار است که آیا این کتاب یک ضربه به جنبش فمینیستی است یا صرفا یک خیال مردانه است ، اما یک مطالعه ی جالب است و شما را به ورق زدن وا خواهد داشت.,Library Journal
35783,Using Communication Theory was a rarity in bridging the gap between ideas and practice. I,این کتاب، کتابی نادر در پیوند ایجاد کردن بین ایده و عمل است.,Denis McQuail
35783,"It is the comprehensive and self-evident source for theories and models, forming the base for the study of professions requiring communication planning.",این کتاب منبعی جامع و خودخوان برای تئوری ها و مدل ها است و کتابی پایه ای برای مطالعه ی مشاغل مورد نیاز در برنامه ریزی ارتباطی است.,Larsåke Larsson
1201,"Rollins mixes science, history, facts, and fiction into a thrilling swirl of an adventure story with an incredible pace.",رولینز، علم، تاریخ، حقایق و داستان را ترکیب می کند و مارپیچی هیجان انگیز از داستانی ماجرایی با سرعتی باورنکردنی خلق می کند.,School Library Journal
1201,Nonstop action-adventure.,حادثه و ماجراجویی به شکلی بی وقفه.,Oklahoman
1201,"Rollins writes with intelligence, clarity, and a sense of humor.",رولینز با هوش، شفافیت و شوخ طبعی می نویسد.,Kirkus Reviews
81255,"More than enough to hold readers’ attention, no matter their age.",اثری که به راحتی مخاطبین را به خود مجذوب نگه خواهد داشت-صرف نظر از سن آن ها.,Publishers Weekly
81255,A chilling exploration of love and memory.,کاوشی تشویش آور در عشق و خاطره.,Kirkus Reviews
81255,Its strange spell will capture you.,طلسم عجیب این کتاب، شما را مسحور خواهد کرد.,Booklist
1215,"Rich, intense, and generous-hearted.",پرمایه، قدرتمند و مشفقانه.,Barnes & Noble
1215,Elena Ferrante is one of the great novelists of our time.,النا فرانته یکی از نویسندگان بزرگ زمانه ی ماست.,New York Times
1215,Spectacular.,چشم نواز.,NPR
2406,Jung's most insightful contributions to the study of dreams and their meaning.,خردمندانه ترین مشارکت های یونگ در رابطه با موضوع رویاها و معنی آن ها.,Princeton University Press
2406,A remarkable book.,کتابی شایان توجه.,National Library of Medicine
912,"A hilarious, heartfelt story.",داستانی بسیار خنده دار و پراحساس.,Goodreads
912,With an affecting ending.,با پایانی تأثیرگذار.,Kirkus Reviews
